137	19		Drei Klavierstücke	D. 946	1828	Drei Klavierstücke D. 946 (1828)
138	19		Sonata in B-flat	D. 960	1828	Sonata in B-flat D. 960 (1828)
10	20		Liederkreis (“Song Cycle”)	Op. 39	1840	Liederkreis (“Song Cycle”) Op. 39 (1840)
44	20		Selected Songs			Selected Songs  ()
53	20		Five Pieces in Folk Style	Op. 102	1849	Five Pieces in Folk Style Op. 102 (1849)
56	20		Selected Songs by Schumann			Selected Songs by Schumann  ()
63	20		String Quartet in A	Op. 41, No. 3	1842	String Quartet in A Op. 41, No. 3 (1842)
105	20		Piano quartet in E-flat Major		1842	Piano quartet in E-flat Major  (1842)
5	21		Seven Romances on Poems by Alexander Blok	Op. 127	1967	Seven Romances on Poems by Alexander Blok Op. 127 (1967)
27	21		Piano Trio No.2 in e minor	Op. 67	1944	Piano Trio No.2 in e minor Op. 67 (1944)
17	22		Serenade for Strings in C major	Op. 48	1880	Serenade for Strings in C major Op. 48 (1880)
33	23		Canonic Sonata #1			Canonic Sonata #1  ()
80	23		Fantasia No. 1 in A Major		1732–33	Fantasia No. 1 in A Major  (1732–33)
139	23	86	Fantasia for solo cello			Fantasia for solo cello  ()
170	23		Fantasie No. 5			Fantasie No. 5  ()
173	23		"Paris" Quartet in D	43:D1	1730	"Paris" Quartet in D 43:D1 (1730)
37	25		(More than) One note Samba			(More than) One note Samba  ()
43	27		Fiançailles pour rire		1939	Fiançailles pour rire  (1939)
55	27		Selected Songs by Poulenc			Selected Songs by Poulenc  ()
46	28		Let Evening Come		1994	Let Evening Come  (1994)
50	29		Fireflies		2014	Fireflies  (2014)
54	30		Piano trio in a minor		1914	Piano trio in a minor  (1914)
122	30	82	String Quartet in F		1903	String Quartet in F  (1903)
59	32		Cadenza for solo viola		1984	Cadenza for solo viola  (1984)
60	33		Chahagir for solo violo	Op. 56, No. 1	1944	Chahagir for solo violo Op. 56, No. 1 (1944)
62	34		Suite for solo cello No. 2	Op. 80	1967	Suite for solo cello No. 2 Op. 80 (1967)
64	35		Trio for clarinet, violin and cello		2014	Trio for clarinet, violin and cello  (2014)
65	36		Narrow are the Broken Spikes		2014	Narrow are the Broken Spikes  (2014)
66	37		We are Geese Absorbed into the Thirsty Sky		2014	We are Geese Absorbed into the Thirsty Sky  (2014)
67	38		Tumblers		1989–90	Tumblers  (1989–90)
68	39		Non-Periodic Passacaglia		2007	Non-Periodic Passacaglia  (2007)
82	39		The Pizzicato Piece		2003	The Pizzicato Piece  (2003)
69	40		Grand Alap		1996	Grand Alap  (1996)
72	41		Toward the Sea		1981	Toward the Sea  (1981)
75	42		Green Torso		2008–09	Green Torso  (2008–09)
